
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
68:FF:7B:D7:3A:04, 2025-04-21 11:33:42, 2025-04-21 11:33:45, 10, 270, WPA2, CCMP TKIP, PSK, -84,        7,        0,   0.  0.  0.  0,  12, TP-Link_3A04, 
C0:C9:E3:F2:E1:00, 2025-04-21 11:33:42, 2025-04-21 11:33:44, 10, 270, WPA2, CCMP, PSK, -91,        3,        0,   0.  0.  0.  0,   7, isydiy2, 
E4:C3:2A:86:B2:1D, 2025-04-21 11:33:42, 2025-04-21 11:33:44,  9, 195, WPA2, CCMP TKIP, PSK, -88,        4,        0,   0.  0.  0.  0,   6, ProNik, 
24:7F:3C:CD:B9:48, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  1, 270, WPA2, CCMP TKIP, PSK, -23,       14,        0,   0.  0.  0.  0,  13, , 
6C:5A:B0:23:F7:B8, 2025-04-21 11:33:42, 2025-04-21 11:33:46, 11, 270, WPA2, CCMP, PSK, -83,        8,        1,   0.  0.  0.  0,  12, TP-Link_F7B8, 
D4:DA:21:8D:A4:D9, 2025-04-21 11:33:42, 2025-04-21 11:33:45, 10, 130, WPA2, CCMP TKIP, PSK, -85,        5,        0,   0.  0.  0.  0,   6, Zoryna, 
40:AE:30:C7:F4:F4, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  1, 270, WPA2, CCMP, PSK, -77,        7,        4,   0.  0.  0.  0,   4, Hata, 
BC:62:CE:70:D5:52, 2025-04-21 11:33:42, 2025-04-21 11:33:42,  1, 270, WPA2, CCMP TKIP, PSK, -92,        1,        0,   0.  0.  0.  0,  12, netis_70D552, 
14:4D:67:05:33:DC, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  1, 270, WPA2, CCMP, PSK, -70,        6,        0,   0.  0.  0.  0,   5, Masha, 
14:4D:67:05:33:DE, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  1, 270, OPN, ,   , -70,        5,        0,   0.  0.  0.  0,  16, TOTOLINK_N300RT1, 
12:82:3D:8B:90:41, 2025-04-21 11:33:42, 2025-04-21 11:33:42,  1, 360, WPA2, CCMP TKIP, PSK, -91,        1,        0,   0.  0.  0.  0,  11, KyivstarKIN, 
12:82:3D:DB:90:41, 2025-04-21 11:33:42, 2025-04-21 11:33:42,  1, 360, WPA2, CCMP TKIP, PSK, -91,        1,        0,   0.  0.  0.  0,   0, , 
10:27:F5:A8:46:7A, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  6, 360, WPA2, CCMP, PSK, -73,       10,        0,   0.  0.  0.  0,   2, 88, 
4A:22:54:A3:8F:DD, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  8, 360, WPA2, CCMP, PSK, -80,        7,        0,   0.  0.  0.  0,   0, , 
42:ED:00:2E:0C:FB, 2025-04-21 11:33:42, 2025-04-21 11:33:46,  7, 360, WPA2, CCMP, PSK, -92,        4,        0,   0.  0.  0.  0,   0, , 
BC:E0:01:55:59:93, 2025-04-21 11:33:42, 2025-04-21 11:33:45, 11, 270, WPA2, CCMP, PSK, -49,        7,        0,   0.  0.  0.  0,  17, netis_2.4G_555991, 
60:32:B1:14:D2:69, 2025-04-21 11:33:42, 2025-04-21 11:33:46, 13, 195, WPA2, CCMP TKIP, PSK, -94,        3,        0,   0.  0.  0.  0,   5, Topic, 
B0:DF:C1:26:F0:C1, 2025-04-21 11:33:42, 2025-04-21 11:33:43,  2, 270, WPA2, CCMP TKIP, PSK, -86,        2,        0,   0.  0.  0.  0,  16, Kyivstar_lemberg, 
24:2F:D0:93:F7:A5, 2025-04-21 11:33:42, 2025-04-21 11:33:44,  3, 360, WPA2, CCMP, PSK, -80,        7,        0,   0.  0.  0.  0,  12, TP-Link_F7A5, 
B4:0F:3B:14:B8:D1, 2025-04-21 11:33:43, 2025-04-21 11:33:44,  9, 130, OPN, ,   , -78,        6,        0,   0.  0.  0.  0,  12, Tenda_14B8D0, 
48:22:54:E3:8F:DD, 2025-04-21 11:33:43, 2025-04-21 11:33:44,  8, 360, WPA2, CCMP, PSK, -78,        3,        0,   0.  0.  0.  0,  12, TP-Link_8FDD, 
26:2F:D0:A3:F7:A5, 2025-04-21 11:33:43, 2025-04-21 11:33:44,  3, 360, WPA2, CCMP, PSK, -79,        5,        0,   0.  0.  0.  0,   0, , 
AC:15:A2:08:82:21, 2025-04-21 11:33:43, 2025-04-21 11:33:44,  4, 130, WPA2, CCMP, PSK, -64,        7,        0,   0.  0.  0.  0,  12, TP-Link_8221, 
B0:BE:76:B4:D7:DC, 2025-04-21 11:33:43, 2025-04-21 11:33:44,  3, 270, WPA2, CCMP, PSK, -90,        3,        0,   0.  0.  0.  0,  12, TP-Link_D7DC, 
9C:A2:F4:D0:48:B2, 2025-04-21 11:33:43, 2025-04-21 11:33:44,  4, 270, WPA2, CCMP, PSK, -72,        7,        0,   0.  0.  0.  0,  12, TP-Link_48B2, 
50:FF:20:AC:F5:B1, 2025-04-21 11:33:44, 2025-04-21 11:33:44,  9, 270, WPA2, CCMP, PSK, -93,        2,        0,   0.  0.  0.  0,   6, Lilia), 
3E:22:B8:29:18:80, 2025-04-21 11:33:44, 2025-04-21 11:33:44,  9, 720, WPA3 WPA2, CCMP, SAE PSK, -92,        2,        0,   0.  0.  0.  0,   6, i12nfg, 
52:FF:20:FC:F5:B1, 2025-04-21 11:33:44, 2025-04-21 11:33:44,  9, 270, WPA3 WPA2, CCMP, SAE PSK, -92,        2,        0,   0.  0.  0.  0,   0, , 
C0:25:2F:15:39:8D, 2025-04-21 11:33:44, 2025-04-21 11:33:44,  4, 270, WPA2, CCMP, PSK, -62,        6,        0,   0.  0.  0.  0,  13, MERCUSYS_398D, 
